Id_RipUnit,Id_Reach,Basin,Sub_Basin,Reach,Bank,RipUnit,Q25,Q50_Median,Q75,Count,Mean (m),Std,Basal_Area (m2/ha),,
19,10,Arve,Arve,A-A10,Left ,A-A10-Left,11.1,14.5,17,323,14.29,4.14,29.86217,,
20,10,Arve,Arve,A-A10,Right ,A-A10-Right,12.2,15.5,18.4,583,15.37,4.75,30.21011,,
21,11,Arve,Arve,A-A11,Left ,A-A11-Left,10,13.75,17.5,778,13.99,5.22,33.19464,,
22,11,Arve,Arve,A-A11,Right ,A-A11-Right,9.3,12.4,16.5,699,12.97,4.8,24.1738,,
23,12,Arve,Arve,A-A12,Left ,A-A12-Left,10.6,15.3,20.1,839,15.6,6.07,46.14998,,
24,12,Arve,Arve,A-A12,Right ,A-A12-Right,8.3,12.2,17.2,797,13.17,5.62,41.19631,,
25,13,Arve,Arve,A-A13,Left ,A-A13-Left,16.5,21.4,26.2,830,21.05,6.95,25.14588,,
26,13,Arve,Arve,A-A13,Right ,A-A13-Right,17.7,22.1,25.4,1198,21.34,6.08,31.99941,,
27,14,Arve,Arve,A-A14,Left ,A-A14-Left,16.48,21.9,25.22,428,20.69,6.34,15.6,,
28,14,Arve,Arve,A-A14,Right ,A-A14-Right,16.25,20.1,24.3,747,19.96,5.72,22.472,,
29,15,Arve,Arve,A-A15,Left ,A-A15-Left,13.5,18.25,22.68,526,18.02,6.13,21.41301,,
30,15,Arve,Arve,A-A15,Right ,A-A15-Right,15,18.5,22.68,566,18.71,5.41,24.6767,,
31,16,Arve,Arve,A-A16,Left ,A-A16-Left,19.1,22.7,25.8,783,22.41,5.24,33.36228,,
32,16,Arve,Arve,A-A16,Right ,A-A16-Right,18.8,22.5,25.4,850,21.96,5.12,20.05912,,
33,17,Arve,Arve,A-A17,Left ,A-A17-Left,19.5,22.95,25.7,364,22.51,4.64,14.87916,,
34,17,Arve,Arve,A-A17,Right ,A-A17-Right,18.8,21.8,24.9,297,21.64,4.5,14.6,,
1,1,Arve,Arve,A-A1,Left ,A-A1-Left,12.8,17.6,22.7,310,17.6,6.76,27.88376,,
2,1,Arve,Arve,A-A1,Right ,A-A1-Right,16.1,23.1,28.8,1042,22.47,7.83,46.93959,,
3,2,Arve,Arve,A-A2,Left ,A-A2-Left,13.3,16.1,18.77,302,16.64,4.99,8.7,,
4,2,Arve,Arve,A-A2,Right ,A-A2-Right,14.2,16.35,19.3,280,16.76,4.42,6.2,,
5,3,Arve,Arve,A-A3,Left ,A-A3-Left,13.6,16.3,19.2,522,16.12,4.11,26.69806,,
6,3,Arve,Arve,A-A3,Right ,A-A3-Right,15.8,19.4,23.3,902,19.74,5.94,23.72654,,
7,4,Arve,Arve,A-A4,Left ,A-A4-Left,13.2,19,25.65,783,19.6,8.17,45.95321,,
8,4,Arve,Arve,A-A4,Right ,A-A4-Right,18.1,23.4,29.3,1033,23.44,7.65,25.45142,,
9,5,Arve,Arve,A-A5,Left ,A-A5-Left,13.5,17.7,23.6,1120,18.97,7.76,27.67799,,
10,5,Arve,Arve,A-A5,Right ,A-A5-Right,11.4,15.9,21.6,865,16.95,7.17,47.07861,,
11,6,Arve,Arve,A-A6,Left ,A-A6-Left,10.9,13.3,16.1,1049,13.63,3.83,31.7628,,
12,6,Arve,Arve,A-A6,Right ,A-A6-Right,11.4,15.2,18.5,963,14.96,4.7,16.85852,,
13,7,Arve,Arve,A-A7,Left ,A-A7-Left,12.8,16.4,21.6,701,17.24,6.79,40.80809,,
14,7,Arve,Arve,A-A7,Right ,A-A7-Right,10.48,15,19.1,892,15.26,6.14,26.74838,,
15,8,Arve,Arve,A-A8,Left ,A-A8-Left,13.35,17.3,21.7,915,17.69,6.22,45.0567,,
16,8,Arve,Arve,A-A8,Right ,A-A8-Right,9.5,13.2,16.7,576,13.49,5.26,39.61781,,
17,9,Arve,Arve,A-A9,Left ,A-A9-Left,11.9,15.65,19.68,542,15.6,5.03,11.5,,
18,9,Arve,Arve,A-A9,Right ,A-A9-Right,10.6,14.5,19.18,366,15.08,5.81,22.97106,,
35,18,Arve,Giffre,A-G1,Left ,A-G1-Left,16.02,20.25,25.7,794,20.88,6.56,30.80346,,
36,18,Arve,Giffre,A-G1,Right ,A-G1-Right,13.2,18.45,25.68,318,19.38,7.62,47.65809,,
37,19,Arve,Giffre,A-G2,Left ,A-G2-Left,16.1,19.8,24.6,335,20.41,7.04,31.92711,,
38,19,Arve,Giffre,A-G2,Right ,A-G2-Right,14.42,18.55,23.4,266,19.21,6.67,35.08336,,
39,20,Arve,Giffre,A-G3,Left ,A-G3-Left,16.4,21.7,28.8,633,22.49,8.22,33.54632,,
40,20,Arve,Giffre,A-G3,Right ,A-G3-Right,13.52,19.15,24.68,726,19.49,7.56,34.35052,,
41,21,Arve,Giffre,A-G4,Left ,A-G4-Left,13.4,16.15,20.2,1138,16.74,5.51,23.63442,,
42,21,Arve,Giffre,A-G4,Right ,A-G4-Right,12,15.1,19.6,1056,16.1,5.85,42.60591,,
43,22,Arve,Giffre,A-G5,Left ,A-G5-Left,12,17.55,27.9,654,19.62,9.2,44.88989,,
44,22,Arve,Giffre,A-G5,Right ,A-G5-Right,11.18,14.5,18.9,584,15,5.59,54.68525,,
45,23,Arve,Giffre,A-G6,Left ,A-G6-Left,17.2,22,26.8,1119,22.02,6.37,31.53583,,
46,23,Arve,Giffre,A-G6,Right ,A-G6-Right,16,20.7,24.9,1061,20.37,6.72,23.16008,,
