Id_RipUnit,Id_Reach,Basin,Sub_Basin,Reach,Bank,RipUnit,LW_Presence,Dead_Wood,Sinuosity,Width_Mean,Lat_Connectivity,Gradient (%),SPI / Width,SPI,Lentgh (m),Standing_Dead_Trees,Regeneration,Basal_Area (m2/ha),P50_Height,Height_IQR,HardWood_Ab,SoftWood_Ab,Pioneers_Ab,Shrubs_Ab,Brambles_Ab,Invasive_Ab,MaxDiamClass,DiamComplex,StructuralIndex
19,10,Arve,Arve,A-A10,Left ,A-A10-Left,3,3,1.134,62.1,4,0.35,2.4,148.0,3394,3,2,19,16,6.65,1,1,1,0,0,1,3,3,0.755484832
20,10,Arve,Arve,A-A10,Right ,A-A10-Right,3,3,1.134,62.1,4,0.35,2.4,148.0,3394,3,3,21,15.7,6.2,0,1,1,0,0,1,4,4,0.658585617
21,11,Arve,Arve,A-A11,Left ,A-A11-Left,1,2,1.062,74.4,3,0.21,1.3,95.2,8076,3,2,21,14.5,8.2,0,1,2,0,0,0,3,3,0.762402376
22,11,Arve,Arve,A-A11,Right ,A-A11-Right,1,1,1.062,74.4,3,0.21,1.3,95.2,8076,2,2,20,13.4,8.1,1,0,2,0,0,1,3,3,0.742597435
23,12,Arve,Arve,A-A12,Left ,A-A12-Left,4,4,1.169,87.9,4,0.16,0.9,75.0,7917,3,3,26,16.5,9.8,0,2,2,0,0,1,4,4,0.816799935
24,12,Arve,Arve,A-A12,Right ,A-A12-Right,4,3,1.169,87.9,4,0.16,0.9,75.0,7917,4,4,26,13.8,9.4,1,4,1,0,0,1,2,2,0.821355158
25,13,Arve,Arve,A-A13,Left ,A-A13-Left,2,3,1.281,47.7,4,0.21,2.0,97.4,6796,3,3,15,21.9,9.575,1,4,2,1,0,1,4,4,0.906453646
26,13,Arve,Arve,A-A13,Right ,A-A13-Right,2,4,1.281,47.7,4,0.21,2.0,97.4,6796,4,4,16,22.3,7.3,1,3,2,1,0,2,4,4,0.906430893
27,14,Arve,Arve,A-A14,Left ,A-A14-Left,3,3,1.513,59.8,4,0.35,2.9,174.2,4335,2,2,12,21.5,8.875,1,4,2,2,2,0,3,3,0.934957765
28,14,Arve,Arve,A-A14,Right ,A-A14-Right,3,3,1.513,59.8,4,0.35,2.9,174.2,4335,2,3,14,20.3,7.85,0,4,2,2,2,1,3,3,0.895348875
29,15,Arve,Arve,A-A15,Left ,A-A15-Left,4,2,1.404,80.5,4,0.26,1.7,133.4,6971,1,2,14,19.45,9.2,1,2,2,0,1,1,5,5,0.915461907
