Id_Data,Id_Place,Basin,Sub_Basin,Stand_Code,Bank,Cod_Plg,LW_Presence,Dead_Wood,Sinuosity,Width_Mean,Lat_Connectivity,Gradient (%),SPI / Width,SPI,Lentgh (m),Standing_Dead_Trees,Regeneration,Basal_Area (m2/ha),P50_Height,Height_IQR,HardWood_Ab,SoftWood_Ab,Pioneers_Ab,Shrubs_Ab,Brambles_Ab,Invasive_Ab,MaxDiamClass,DiamComplex,StructuralIndex,Basin_Code,Bank_Code,is_headwater,d_Sinuosity,d_Gradient_pct,d_Width_Mean,d_SPI_Width,d_Basal_Area,d_P50_Height,d_Height_IQR,d_StructuralIndex,up_Standing_Dead_Trees,up_Dead_Wood,up_Regeneration,up_Lat_Connectivity,up_LW_Presence
1,1,Arve,Arve,A-A1,Left ,A-A1-Left,1,2,1.073,12.4,2,3.56,31.3,386.7,6062,1,2,18,18,10.4,1,3,1,0,0,2,3,3,0.856973491,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,2
2,1,Arve,Arve,A-A1,Right ,A-A1-Right,1,3,1.073,12.4,4,3.56,31.3,386.7,6062,3,3,27,24.6,12.6,1,2,1,0,0,1,5,5,0.83768772,0,1,1,0,0,0,0,0,0,0,0,3,3,3,4,2
3,2,Arve,Arve,A-A2,Left ,A-A2-Left,1,1,1.066,14.1,1,1.02,12.3,173.1,5575,1,1,8,16.2,5.725,0,1,2,0,0,1,3,3,0.791164952,0,0,0,-0.007,-2.540758944,1.6863,-18.94143328,-10,-1.8,-4.675,-0.065808539,1,1,1,2,2
4,2,Arve,Arve,A-A2,Right ,A-A2-Right,1,1,1.07,14.1,1,1.02,12.3,173.1,5575,1,1,10,16.35,5.1,1,3,2,0,0,1,4,4,0.912505605,0,1,0,-0.007,-2.540758944,1.6863,-18.94143328,-17,-8.25,-7.5,0.074817886,3,3,3,4,2
5,3,Arve,Arve,A-A3,Left ,A-A3-Left,2,2,1.149,38.2,3,1.59,7.8,296.7,5530,1,1,21,16.85,6,0,2,1,2,0,0,4,3,0.714774277,0,0,0,0.083,0.568898548,24.09818182,-4.536049882,13,0.65,0.275,-0.076390675,1,1,1,1,1
6,3,Arve,Arve,A-A3,Right ,A-A3-Right,1,2,1.15,38.2,4,1.59,7.8,296.7,5530,3,3,22,20.4,8.2,0,1,1,2,0,1,4,4,0.761861476,0,1,0,0.083,0.568898548,24.09818182,-4.536049882,12,4.05,3.1,-0.15064413,1,1,1,1,1
7,4,Arve,Arve,A-A4,Left ,A-A4-Left,2,4,1.128,24.3,4,2.82,24.3,591.2,4885,3,3,29,19.9,12.1,0,1,2,1,1,0,3,3,0.791164952,0,0,0,-0.021,1.233654339,-13.847,16.5429111,8,3.05,6.1,0.076390675,1,2,1,3,1
8,4,Arve,Arve,A-A4,Right ,A-A4-Right,2,2,1.13,24.3,4,2.82,24.3,591.2,4885,3,3,20,23,10.3,0,1,2,2,2,0,4,3,0.742597435,0,1,0,-0.021,1.233654339,-13.847,16.5429111,-2,2.6,2.1,-0.019264041,3,2,3,4,1
9,5,Arve,Arve,A-A5,Left ,A-A5-Left,4,2,1.464,17.4,4,3.60,45.6,791.8,6304,2,3,28,18.8,11.55,1,3,2,1,1,0,4,4,0.919184258,0,0,0,0.336,0.775913913,-6.951824675,21.29889039,-1,-1.1,-0.55,0.128019306,3,4,3,4,2
10,5,Arve,Arve,A-A5,Right ,A-A5-Right,4,3,1.46,17.4,4,3.60,45.6,791.8,6304,2,3,28,16.9,11.975,0,3,2,1,1,0,3,3,0.943207914,0,1,0,0.336,0.775913913,-6.951824675,21.29889039,8,-6.1,1.675,0.200610479,3,2,3,4,2
11,6,Arve,Arve,A-A6,Left ,A-A6-Left,2,2,1.104,31.3,3,0.59,5.5,172.3,8439,2,2,25,13.6,5.5,0,3,2,2,1,0,2,2,0.872691655,0,0,0,-0.36,-3.008401063,13.91714286,-40.10896725,-3,-5.2,-6.05,-0.046492603,2,2,3,4,4
12,6,Arve,Arve,A-A6,Right ,A-A6-Right,1,1,1.10,31.3,2,0.59,5.5,172.3,8439,1,2,21,15.1,7.4,0,3,2,2,0,0,4,4,0.800742473,0,1,0,-0.36,-3.008401063,13.91714286,-40.10896725,-7,-1.8,-4.575,-0.142465441,2,3,2,4,4
13,7,Arve,Arve,A-A7,Left ,A-A7-Left,4,3,1.146,37.6,4,0.33,2.7,100.4,6712,2,2,25,17.5,10,0,3,2,1,0,1,3,3,0.886787355,0,0,0,0.042,-0.264716105,6.3057,-2.835564555,0,3.9,4.5,0.0140957,2,2,2,3,1
14,7,Arve,Arve,A-A7,Right ,A-A7-Right,4,2,1.15,37.6,4,0.33,2.7,100.4,6712,3,2,23,15.9,9.45,0,4,2,1,0,1,3,3,0.795187083,0,1,0,0.042,-0.264716105,6.3057,-2.835564555,2,0.8,2.05,-0.005555389,1,1,2,2,1
15,8,Arve,Arve,A-A8,Left ,A-A8-Left,2,4,1.317,45.1,4,0.32,2.2,99.8,7883,3,4,26,19.3,9.5,0,4,2,0,0,0,4,4,0.914435682,0,0,0,0.171,-0.010633011,7.523244444,-0.459579975,1,1.8,-0.5,0.027648327,2,3,2,4,4
16,8,Arve,Arve,A-A8,Right ,A-A8-Right,2,3,1.32,45.1,4,0.32,2.2,99.8,7883,2,2,24,13.8,8.1,0,5,2,1,0,1,5,4,0.940241012,0,1,0,0.171,-0.010633011,7.523244444,-0.459579975,1,-2.1,-1.35,0.145053929,3,2,2,4,4
17,9,Arve,Arve,A-A9,Left ,A-A9-Left,1,1,1.057,38.9,3,0.37,3.2,124.3,5073,2,1,10,16.5,8.1,0,2,1,1,1,0,4,3,0.816517105,0,0,0,-0.26,0.05739369,-6.209444444,0.982340509,-16,-2.8,-1.4,-0.097918577,3,4,4,4,2
18,9,Arve,Arve,A-A9,Right ,A-A9-Right,1,2,1.06,38.9,3,0.37,3.2,124.3,5073,1,1,15,14.9,8.3,0,4,2,3,1,0,5,3,0.846644553,0,1,0,-0.26,0.05739369,-6.209444444,0.982340509,-9,1.1,0.2,-0.093596458,1,3,2,4,2
19,10,Arve,Arve,A-A10,Left ,A-A10-Left,3,3,1.134,62.1,4,0.35,2.4,148.0,3394,3,2,19,16,6.65,1,1,1,0,0,1,3,3,0.755484832,0,0,0,0.077,-0.02096672,23.2485,-0.814210222,9,-0.5,-1.45,-0.061032273,1,2,1,3,1
20,10,Arve,Arve,A-A10,Right ,A-A10-Right,3,3,1.134,62.1,4,0.35,2.4,148.0,3394,3,3,21,15.7,6.2,0,1,1,0,0,1,4,4,0.658585617,0,1,0,0.077,-0.02096672,23.2485,-0.814210222,6,0.8,-2.1,-0.188058936,1,2,1,3,1
21,11,Arve,Arve,A-A11,Left ,A-A11-Left,2,2,1.062,74.4,3,0.21,1.3,95.2,8076,3,2,21,14.5,8.2,0,1,2,0,0,0,3,3,0.762402376,0,0,0,-0.072,-0.143064867,12.27625,-1.101891757,2,-1.5,1.55,0.006917544,3,3,2,4,3
22,11,Arve,Arve,A-A11,Right ,A-A11-Right,2,1,1.062,74.4,3,0.21,1.3,95.2,8076,2,2,20,13.4,8.1,1,0,2,0,0,1,3,3,0.742597435,0,1,0,-0.072,-0.143064867,12.27625,-1.101891757,-1,-2.3,1.9,0.084011818,3,3,3,4,3
